,equity
2025-09-05 03:22:06.042736+00:00,8782.036913426171
2025-09-05 04:22:06.042736+00:00,8731.312900071458
2025-09-05 11:52:06.042736+00:00,8789.56855485255
2025-09-07 22:37:06.042736+00:00,8832.34531901071
2025-09-08 05:22:06.042736+00:00,8853.603875194998
2025-09-08 07:22:06.042736+00:00,8866.325142356905
2025-09-08 08:52:06.042736+00:00,8816.042316894336
2025-09-08 14:37:06.042736+00:00,8893.889101431789
2025-09-09 00:52:06.042736+00:00,8938.032415142401
2025-09-09 07:07:06.042736+00:00,8943.281058100072
2025-09-09 09:37:06.042736+00:00,8892.46392909599
2025-09-09 19:22:06.042736+00:00,8939.192849425748
2025-09-10 02:37:06.042736+00:00,8886.69172833763
2025-09-10 10:07:06.042736+00:00,8835.85728739529
2025-09-10 13:37:06.042736+00:00,8899.60512559387
2025-09-10 18:22:06.042736+00:00,8946.051113765763
2025-09-11 06:07:06.042736+00:00,8894.270262838418
2025-09-11 08:37:06.042736+00:00,8843.741177148073
2025-09-11 19:22:06.042736+00:00,8913.584497363767
2025-09-11 20:22:06.042736+00:00,8955.89519929435
2025-09-12 02:37:06.042736+00:00,8903.37210876693
2025-09-12 03:07:06.042736+00:00,8852.103951201974
2025-09-12 11:07:06.042736+00:00,8974.148224018645
2025-09-12 16:37:06.042736+00:00,9010.013060267765
2025-09-15 00:07:06.042736+00:00,9060.658907203095
2025-09-15 03:52:06.042736+00:00,9097.829471437963
2025-09-15 04:52:06.042736+00:00,9123.2892889005
2025-09-15 11:22:06.042736+00:00,9070.364084923463
2025-09-15 12:37:06.042736+00:00,9017.940921111005
2025-09-16 02:52:06.042736+00:00,9020.057614241034
2025-09-16 05:52:06.042736+00:00,9071.717478659226
2025-09-16 08:37:06.042736+00:00,9109.175926748021
2025-09-16 17:37:06.042736+00:00,9056.052847733992
2025-09-17 07:07:06.042736+00:00,9003.215322124644
2025-09-17 08:22:06.042736+00:00,9072.572447693958
2025-09-17 13:22:06.042736+00:00,9021.414906753014
2025-09-17 16:22:06.042736+00:00,8970.458827628394
2025-09-18 00:37:06.042736+00:00,8919.11572759154
2025-09-18 01:37:06.042736+00:00,8868.078472983923
2025-09-18 05:37:06.042736+00:00,8815.657501586848
2025-09-18 10:07:06.042736+00:00,8764.122163083559
2025-09-19 01:52:06.042736+00:00,8712.020108049403
2025-09-19 03:22:06.042736+00:00,8735.029231722852
2025-09-19 06:07:06.042736+00:00,8684.09579792032
2025-09-19 17:37:06.042736+00:00,8633.974174934783
2025-09-22 05:22:06.042736+00:00,8584.852152649995
2025-09-22 06:37:06.042736+00:00,8535.449679935085
2025-09-22 14:37:06.042736+00:00,8571.190871781575
2025-09-22 20:37:06.042736+00:00,8520.180178584145
2025-09-23 02:37:06.042736+00:00,8470.713002248514
2025-09-23 13:52:06.042736+00:00,8527.138367480904
2025-09-23 19:07:06.042736+00:00,8585.890623730249
2025-09-24 01:52:06.042736+00:00,8536.024851231095
2025-09-24 06:52:06.042736+00:00,8555.685498207577
2025-09-24 10:07:06.042736+00:00,8506.407388388423
2025-09-24 18:37:06.042736+00:00,8458.918685464863
2025-09-24 23:37:06.042736+00:00,8511.905536884422
2025-09-25 05:37:06.042736+00:00,8462.314343305754
2025-09-25 11:37:06.042736+00:00,8479.102524406859
2025-09-25 17:22:06.042736+00:00,8430.24049466867
2025-09-25 18:07:06.042736+00:00,8381.338120917932
2025-09-26 01:52:06.042736+00:00,8398.078780993364
2025-09-26 06:52:06.042736+00:00,8350.62281671405
2025-09-26 11:37:06.042736+00:00,8403.239471805548
2025-09-26 18:52:06.042736+00:00,8355.08682194388
2025-09-29 01:07:06.042736+00:00,8306.267362250112
2025-09-29 02:22:06.042736+00:00,8258.496412925919
2025-09-29 06:37:06.042736+00:00,8210.960619923888
2025-09-29 22:07:06.042736+00:00,8164.678377302534
2025-09-30 00:37:06.042736+00:00,8116.9223332463025
2025-09-30 09:37:06.042736+00:00,8156.502966530104
2025-09-30 15:07:06.042736+00:00,8109.527662587854
2025-09-30 20:07:06.042736+00:00,8063.508373068033
2025-10-01 07:07:06.042736+00:00,8017.390491925307
2025-10-01 10:37:06.042736+00:00,8039.2126521890295
2025-10-01 13:22:06.042736+00:00,7992.681456770769
2025-10-01 15:07:06.042736+00:00,7945.7834831844275
2025-10-02 16:52:06.042736+00:00,8025.457416812494
2025-10-02 17:37:06.042736+00:00,7978.221223297513
2025-10-02 18:52:06.042736+00:00,7930.951837545854
2025-10-02 22:22:06.042736+00:00,7884.648542920383
2025-10-03 00:22:06.042736+00:00,7838.430761027786
2025-10-03 12:07:06.042736+00:00,7793.403134146865
2025-10-03 14:37:06.042736+00:00,7886.821759717557
2025-10-03 22:07:06.042736+00:00,7993.1599438231015
2025-10-06 03:07:06.042736+00:00,7947.436630044262
2025-10-06 06:52:06.042736+00:00,7989.5264793662955
2025-10-06 10:22:06.042736+00:00,7942.720077925325
2025-10-06 11:37:06.042736+00:00,7896.649639741162
2025-10-07 00:37:06.042736+00:00,7851.098977856643
2025-10-07 01:52:06.042736+00:00,7806.00548263201
2025-10-07 02:07:06.042736+00:00,7761.348603074056
2025-10-07 08:37:06.042736+00:00,7863.245421837178
2025-10-08 01:52:06.042736+00:00,7818.127493014123
2025-10-08 12:22:06.042736+00:00,7772.879805188276
2025-10-08 13:22:06.042736+00:00,7728.320576391895
2025-10-08 14:52:06.042736+00:00,7683.719437766291
2025-10-09 04:07:06.042736+00:00,7640.235392957411
2025-10-09 10:22:06.042736+00:00,7596.005042129701
2025-10-09 13:07:06.042736+00:00,7655.2999811210275
2025-10-09 16:07:06.042736+00:00,7610.377505512185
2025-10-10 00:22:06.042736+00:00,7566.696052781298
2025-10-10 03:52:06.042736+00:00,7523.581020498501
2025-10-10 05:37:06.042736+00:00,7479.748005702371
2025-10-10 09:07:06.042736+00:00,7523.821816633852
2025-10-13 00:22:06.042736+00:00,7481.527439219751
2025-10-13 01:07:06.042736+00:00,7438.567098918469
2025-10-13 03:52:06.042736+00:00,7396.192733984117
2025-10-13 06:52:06.042736+00:00,7353.501465010695
2025-10-14 08:22:06.042736+00:00,7397.79359407462
2025-10-14 13:37:06.042736+00:00,7427.241093629961
2025-10-15 01:07:06.042736+00:00,7486.09539886947
2025-10-15 03:07:06.042736+00:00,7443.328570325106
2025-10-15 07:37:06.042736+00:00,7400.651852283418
2025-10-15 11:22:06.042736+00:00,7456.327478548304
2025-10-15 12:37:06.042736+00:00,7486.959317350779
2025-10-16 01:22:06.042736+00:00,7443.55692485405
2025-10-16 08:07:06.042736+00:00,7472.441769718735
2025-10-16 12:22:06.042736+00:00,7496.51497247765
2025-10-16 17:37:06.042736+00:00,7519.541589033059
2025-10-17 04:07:06.042736+00:00,7476.265432038388
2025-10-17 07:22:06.042736+00:00,7433.413216882026
2025-10-17 17:07:06.042736+00:00,7390.5774045326725
2025-10-17 19:37:06.042736+00:00,7346.961263797242
2025-10-19 23:22:06.042736+00:00,7371.111438857133
2025-10-20 04:22:06.042736+00:00,7414.656775034346
2025-10-20 11:07:06.042736+00:00,7371.872958978706
2025-10-20 12:07:06.042736+00:00,7404.446934129615
2025-10-20 18:52:06.042736+00:00,7361.836358147705
2025-10-21 07:52:06.042736+00:00,7370.8898950955645
2025-10-21 10:07:06.042736+00:00,7328.403752500398
2025-10-21 10:52:06.042736+00:00,7370.017831630618
2025-10-21 13:52:06.042736+00:00,7376.557279858284
2025-10-22 01:37:06.042736+00:00,7403.398157688781
2025-10-22 10:37:06.042736+00:00,7360.139635489757
2025-10-22 15:07:06.042736+00:00,7317.850207334678
2025-10-22 19:37:06.042736+00:00,7275.680424390526
2025-10-23 10:07:06.042736+00:00,7295.524992458161
2025-10-23 14:07:06.042736+00:00,7253.887201467287
2025-10-23 18:52:06.042736+00:00,7212.349141337008
2025-10-23 23:37:06.042736+00:00,7169.6987874713905
2025-10-24 02:07:06.042736+00:00,7127.784723989312
2025-10-24 10:52:06.042736+00:00,7086.522255279187
2025-10-24 12:37:06.042736+00:00,7126.9881473672085
2025-10-26 23:37:06.042736+00:00,7086.292545765039
2025-10-27 04:37:06.042736+00:00,7156.827825506726
2025-10-27 08:07:06.042736+00:00,7212.002885495714
2025-10-27 12:37:06.042736+00:00,7170.828271190973
2025-10-27 15:22:06.042736+00:00,7233.868917804683
2025-10-28 06:37:06.042736+00:00,7192.699615313447
2025-10-28 18:52:06.042736+00:00,7251.262054775398
2025-10-29 03:52:06.042736+00:00,7285.0570502733135
2025-10-29 10:22:06.042736+00:00,7244.295039705283
2025-10-29 18:37:06.042736+00:00,7202.525132713904
2025-10-29 19:52:06.042736+00:00,7159.564630945814
2025-10-30 05:22:06.042736+00:00,7118.011122990986
2025-10-30 07:22:06.042736+00:00,7076.342422861923
2025-10-30 13:07:06.042736+00:00,7112.593255160394
2025-10-30 16:52:06.042736+00:00,7071.774976478993
2025-10-31 04:37:06.042736+00:00,7030.944530674227
2025-10-31 14:37:06.042736+00:00,6990.2390561588745
2025-11-03 03:37:06.042736+00:00,7059.274941525196
2025-11-03 04:52:06.042736+00:00,7063.16235148004
2025-11-03 17:37:06.042736+00:00,7134.653809170035
2025-11-03 20:22:06.042736+00:00,7093.167542095399
2025-11-04 02:52:06.042736+00:00,7050.913109609719
2025-11-04 07:22:06.042736+00:00,7009.178903080076
2025-11-04 15:22:06.042736+00:00,7046.266680235342
2025-11-04 21:07:06.042736+00:00,7117.234081499812
2025-11-05 06:37:06.042736+00:00,7075.497547921547
2025-11-05 09:07:06.042736+00:00,7033.933848784335
2025-11-05 17:07:06.042736+00:00,7082.195105789929
2025-11-05 23:37:06.042736+00:00,7135.019348251159
2025-11-06 00:22:06.042736+00:00,7136.048393444753
2025-11-06 06:07:06.042736+00:00,7187.651264192825
2025-11-06 10:07:06.042736+00:00,7284.36617465704
2025-11-06 15:22:06.042736+00:00,7241.348220477602
2025-11-07 06:52:06.042736+00:00,7277.320192596003
2025-11-07 08:52:06.042736+00:00,7325.4315231700275
2025-11-07 15:52:06.042736+00:00,7282.115860538009
2025-11-07 18:07:06.042736+00:00,7351.034702132054
2025-11-10 04:52:06.042736+00:00,7376.766397899313
2025-11-10 12:07:06.042736+00:00,7333.155709371934
2025-11-10 12:37:06.042736+00:00,7290.162661038212
2025-11-10 13:37:06.042736+00:00,7247.391223604679
2025-11-11 01:37:06.042736+00:00,7278.486876326049
2025-11-11 06:37:06.042736+00:00,7236.152512231626
2025-11-11 19:37:06.042736+00:00,7323.359141841732
2025-11-11 21:52:06.042736+00:00,7322.97234136712
2025-11-12 05:52:06.042736+00:00,7281.62050127199
2025-11-12 09:37:06.042736+00:00,7238.5702302100035
2025-11-12 11:22:06.042736+00:00,7195.621700935941
2025-11-12 18:22:06.042736+00:00,7153.43943993535
2025-11-13 01:52:06.042736+00:00,7190.136326419028
2025-11-13 07:37:06.042736+00:00,7148.331278960595
2025-11-13 08:52:06.042736+00:00,7106.71594637963
2025-11-13 11:37:06.042736+00:00,7065.679718343696
2025-11-14 02:52:06.042736+00:00,7059.5251605589965
2025-11-14 05:22:06.042736+00:00,7076.02278174204
2025-11-14 15:07:06.042736+00:00,7034.277337278493
2025-11-14 18:22:06.042736+00:00,7081.619917261877
2025-11-17 00:52:06.042736+00:00,7040.856974388838
2025-11-17 02:37:06.042736+00:00,7000.8211717116765
2025-11-17 07:22:06.042736+00:00,7076.971379454894
2025-11-17 08:07:06.042736+00:00,7074.445978701817
2025-11-18 10:22:06.042736+00:00,7074.092532712534
2025-11-18 14:07:06.042736+00:00,7033.222314741112
2025-11-18 15:22:06.042736+00:00,6993.270292142661
2025-11-18 17:07:06.042736+00:00,6953.919965229218
2025-11-19 03:22:06.042736+00:00,6912.97374859751
2025-11-19 04:37:06.042736+00:00,6873.458226074989
2025-11-19 10:22:06.042736+00:00,6833.133033347392
2025-11-19 19:52:06.042736+00:00,6793.899824694499
2025-11-20 05:52:06.042736+00:00,6755.348465739742
2025-11-20 06:07:06.042736+00:00,6716.257512122854
2025-11-20 07:52:06.042736+00:00,6756.608551767735
2025-11-20 11:07:06.042736+00:00,6800.538609265179
2025-11-21 00:37:06.042736+00:00,6761.4137884345055
2025-11-21 02:52:06.042736+00:00,6722.332388877964
2025-11-21 07:07:06.042736+00:00,6762.396898786303
2025-11-21 11:52:06.042736+00:00,6722.690115638917
2025-11-24 02:22:06.042736+00:00,6683.734957193166
2025-11-24 09:22:06.042736+00:00,6724.908833267242
2025-11-24 10:37:06.042736+00:00,6684.614611294002
2025-11-24 16:52:06.042736+00:00,6703.998577248915
2025-11-25 03:52:06.042736+00:00,6665.505906133191
2025-11-25 04:37:06.042736+00:00,6626.508923335328
2025-11-25 05:52:06.042736+00:00,6653.266590866439
2025-11-25 09:07:06.042736+00:00,6679.3773392365665
2025-11-26 01:52:06.042736+00:00,6694.535674551754
2025-11-26 07:37:06.042736+00:00,6728.190866266677
2025-11-26 13:52:06.042736+00:00,6689.948278827286
2025-11-26 17:52:06.042736+00:00,6651.871772680815
2025-11-27 00:52:06.042736+00:00,6687.719920787109
2025-11-27 06:07:06.042736+00:00,6649.207094958068
2025-11-27 08:22:06.042736+00:00,6611.3801654606605
2025-11-27 10:52:06.042736+00:00,6573.218876626657
2025-11-28 00:22:06.042736+00:00,6572.722312482574
2025-11-28 04:37:06.042736+00:00,6599.447197138706
2025-11-28 10:37:06.042736+00:00,6612.02444032512
2025-11-28 15:37:06.042736+00:00,6658.153528876245
2025-12-01 08:07:06.042736+00:00,6620.81436815799
2025-12-01 08:37:06.042736+00:00,6581.497100098145
2025-12-01 21:22:06.042736+00:00,6702.635266358777
2025-12-02 01:37:06.042736+00:00,6662.981694164289
2025-12-02 03:22:06.042736+00:00,6624.295311485364
2025-12-02 10:52:06.042736+00:00,6622.20593287751
2025-12-02 12:22:06.042736+00:00,6618.463399875671
2025-12-03 00:52:06.042736+00:00,6641.794505990137
2025-12-03 04:52:06.042736+00:00,6603.623030450283
2025-12-03 06:22:06.042736+00:00,6565.4896780197405
2025-12-03 13:07:06.042736+00:00,6527.557128191
2025-12-04 06:22:06.042736+00:00,6566.760318651178
2025-12-04 10:22:06.042736+00:00,6528.033726452477
2025-12-04 16:22:06.042736+00:00,6490.839909533927
2025-12-04 19:52:06.042736+00:00,6453.105026542808
2025-12-05 00:22:06.042736+00:00,6468.508351746406
2025-12-05 04:07:06.042736+00:00,6431.9831752924365
2025-12-05 10:07:06.042736+00:00,6394.890031458704
2025-12-05 15:22:06.042736+00:00,6357.995677084584
2025-12-08 00:22:06.042736+00:00,6386.618107230947
2025-12-08 01:52:06.042736+00:00,6350.093869960173
2025-12-08 03:37:06.042736+00:00,6404.569100912658
2025-12-08 09:07:06.042736+00:00,6424.87973541649
2025-12-09 10:52:06.042736+00:00,6387.345485299763
2025-12-09 12:37:06.042736+00:00,6350.712618211251
2025-12-09 16:07:06.042736+00:00,6315.030051093374
2025-12-09 18:07:06.042736+00:00,6279.522143700621
2025-12-10 05:22:06.042736+00:00,6315.4092628852495
2025-12-10 12:37:06.042736+00:00,6333.160858057052
2025-12-10 15:22:06.042736+00:00,6386.468353196054
2025-12-11 00:22:06.042736+00:00,6348.664146057612
2025-12-11 12:07:06.042736+00:00,6382.178525367808
2025-12-11 14:52:06.042736+00:00,6408.512600965506
2025-12-11 19:52:06.042736+00:00,6372.13223649823
2025-12-11 23:37:06.042736+00:00,6392.281226442789
2025-12-12 03:22:06.042736+00:00,6430.582571413014
2025-12-12 15:07:06.042736+00:00,6451.155231400905
2025-12-15 07:07:06.042736+00:00,6505.545046294198
2025-12-15 15:37:06.042736+00:00,6575.28489131838
2025-12-15 23:07:06.042736+00:00,6537.39246395725
2025-12-16 02:07:06.042736+00:00,6499.682394097372
2025-12-16 03:37:06.042736+00:00,6462.400432274168
2025-12-16 07:07:06.042736+00:00,6522.702304322645
2025-12-16 12:37:06.042736+00:00,6575.385946143621
2025-12-16 20:07:06.042736+00:00,6537.640337994812
2025-12-17 16:52:06.042736+00:00,6500.056063778349
2025-12-17 22:37:06.042736+00:00,6594.334582796015
2025-12-18 03:52:06.042736+00:00,6555.628663839305
2025-12-18 06:37:06.042736+00:00,6610.808945139048
2025-12-18 14:07:06.042736+00:00,6573.053672145062
2025-12-18 16:07:06.042736+00:00,6535.711626614603
2025-12-19 01:37:06.042736+00:00,6591.804939321809
2025-12-19 07:07:06.042736+00:00,6553.857160660704
2025-12-19 11:37:06.042736+00:00,6575.35405027778
